Levy,Manufacturer,Model,Category,Leather interior,Fuel type,Engine volume,Mileage(Km),Cylinders,Gear box type,Drive wheels,Wheel,Color,Airbags,Age,Predicted_Price,Actual_Price
585.0,HYUNDAI,Elantra,Sedan,Yes,Petrol,1.8,177590.0,4.0,Automatic,Front,Left wheel,Grey,12.0,12.0,1959.999999999981,1960
394.0,TOYOTA,Camry,Sedan,Yes,Hybrid,2.5,179381.0,4.0,Automatic,Front,Left wheel,Black,12.0,11.0,11133.000000000131,11133
259.0,CHEVROLET,Volt,Hatchback,No,Plug-in Hybrid,1.4,65000.0,4.0,Automatic,Front,Left wheel,Silver,10.0,11.0,27285.127331644922,27284
790.0,HYUNDAI,I30,Hatchback,Yes,Petrol,1.6,107760.0,4.0,Automatic,Front,Left wheel,Red,4.0,16.0,6271.27587791142,6272
781.0,CHEVROLET,Cruze,Sedan,No,Petrol,1.4,0.0,4.0,Automatic,Front,Left wheel,Black,0.0,7.0,13954.747167694706,13956
777.0,HYUNDAI,H1,Minivan,Yes,Diesel,2.5,132023.0,4.0,Automatic,Front,Left wheel,Grey,4.0,11.0,34885.52066833573,34905
1172.0,MERCEDES-BENZ,ML 350,Jeep,Yes,Diesel,3.5,186542.0,6.0,Automatic,4x4,Left wheel,White,12.0,14.0,2037.99999999999,2038
1017.0,HYUNDAI,Sonata,Sedan,Yes,Petrol,2.0,68009.0,4.0,Automatic,Front,Left wheel,Black,4.0,8.0,50266.316876091645,50341
891.0,HYUNDAI,Sonata,Sedan,Yes,LPG,2.0,258706.0,4.0,Automatic,Front,Left wheel,Silver,4.0,9.0,15681.000000000458,15681
781.0,VOLKSWAGEN,Jetta,Sedan,No,Petrol,2.5,122400.0,6.0,Manual,Front,Left wheel,Black,8.0,17.0,10036.000000000031,10036
836.0,HYUNDAI,Tucson,Jeep,Yes,Diesel,2.0,173169.0,4.0,Automatic,Front,Left wheel,Grey,4.0,15.0,17922.568744137894,17923
4283.0,HONDA,Elysion,Minivan,No,Petrol,2.4,141000.0,4.0,Automatic,Front,Right-hand drive,White,2.0,18.0,9999.99999999999,10000
501.0,TOYOTA,Aqua,Sedan,Yes,Petrol,1.5,51000.0,4.0,Automatic,Front,Left wheel,White,4.0,11.0,39011.39495600647,38975
781.0,MITSUBISHI,Pajero IO,Jeep,No,Petrol,2.0,25000.0,4.0,Manual,4x4,Left wheel,Black,0.0,24.0,9722.000000000116,9722
629.0,HYUNDAI,Elantra,Sedan,Yes,Petrol,1.6,138770.0,4.0,Automatic,Front,Left wheel,White,4.0,10.0,19706.909709585634,19707
607.0,TOYOTA,Camry,Sedan,Yes,Hybrid,2.5,9626.0,4.0,Automatic,Front,Left wheel,Black,12.0,6.0,3450.0000000000673,3450
779.0,VOLKSWAGEN,Passat,Sedan,Yes,Petrol,2.5,84000.0,6.0,Tiptronic,Front,Left wheel,White,12.0,12.0,16934.99999999977,16935
308.0,TOYOTA,Prius,Hatchback,Yes,Hybrid,1.8,146019.0,4.0,Automatic,Front,Left wheel,White,12.0,11.0,187.99999999999787,188
530.0,CHEVROLET,Aveo,Hatchback,Yes,Petrol,1.6,87753.0,4.0,Automatic,Front,Left wheel,Grey,4.0,12.0,13293.090586694258,13297
1018.0,BMW,X5,Jeep,Yes,Diesel,3.0,332243.0,6.0,Automatic,4x4,Left wheel,Black,0.0,14.0,10349.00000000012,10349
640.0,VOLKSWAGEN,Jetta,Sedan,No,Petrol,2.0,95000.0,4.0,Tiptronic,Front,Left wheel,Black,8.0,12.0,13892.273025566197,13900
781.0,VOLKSWAGEN,Vento,Sedan,No,Petrol,1.8,107000.0,4.0,Manual,Front,Left wheel,Green,2.0,30.0,4390.678840293355,4391
640.0,HYUNDAI,Sonata,Sedan,Yes,Petrol,2.0,52668.0,4.0,Automatic,Front,Left wheel,Black,4.0,12.0,12857.99999999979,12858
781.0,FORD,Transit,Microbus,No,Diesel,2.5,0.0,4.0,Manual,Rear,Left wheel,White,2.0,28.0,10975.999999999767,10976
781.0,TOYOTA,Aqua,Hatchback,No,Hybrid,1.5,100000.0,4.0,Variator,Front,Right-hand drive,White,6.0,12.0,14113.0,14113
833.0,CHEVROLET,Cruze,Sedan,Yes,Diesel,2.0,67490.0,4.0,Automatic,Front,Left wheel,Grey,4.0,15.0,6241.269760234792,6241
765.0,JEEP,Cherokee,Jeep,Yes,Diesel,2.0,135547.0,4.0,Automatic,Front,Left wheel,Grey,4.0,10.0,51151.923125081834,51166
353.0,TOYOTA,Prius,Hatchback,No,Hybrid,1.8,128000.0,4.0,Variator,Front,Left wheel,White,8.0,10.0,23354.92069003481,23364
781.0,MERCEDES-BENZ,E 220,Sedan,Yes,Diesel,2.2,700000.0,4.0,Manual,Rear,Left wheel,White,12.0,14.0,14113.0,14113
781.0,MERCEDES-BENZ,ML 350 ML350,Jeep,Yes,Petrol,3.7,238078.0,6.0,Tiptronic,4x4,Left wheel,Black,12.0,21.0,15681.000000000458,15681
1624.0,MERCEDES-BENZ,E 350,Sedan,Yes,Petrol,3.5,111111.0,8.0,Automatic,4x4,Left wheel,Black,0.0,16.0,21325.999999999793,21326
1360.0,MERCEDES-BENZ,GL 550,Jeep,Yes,Petrol,4.6,214763.0,8.0,Automatic,4x4,Left wheel,Black,12.0,12.0,32302.179975430714,32302
781.0,OPEL,Astra,Goods wagon,No,Diesel,1.7,55000.0,4.0,Manual,Front,Left wheel,Green,2.0,27.0,2801.3151517766205,2800
1091.0,HYUNDAI,H1,Universal,Yes,Diesel,2.5,79000.0,4.0,Automatic,Front,Left wheel,Black,4.0,9.0,47726.50809382796,47694
781.0,VOLKSWAGEN,Jetta SE,Sedan,Yes,Petrol,1.8,70000.0,4.0,Tiptronic,Front,Left wheel,Black,12.0,11.0,20384.99999999983,20385
1399.0,LEXUS,RX 450,Jeep,Yes,Hybrid,3.5,317470.0,6.0,Automatic,4x4,Left wheel,Grey,12.0,15.0,220.00000000000227,220
875.0,TOYOTA,Vitz,Hatchback,No,Petrol,1.0,83000.0,3.0,Automatic,Front,Right-hand drive,White,2.0,13.0,6998.625555982144,7000
781.0,CHEVROLET,Cruze,Hatchback,No,Petrol,1.5,100000.0,4.0,Automatic,Front,Right-hand drive,Black,4.0,20.0,7213.000000000082,7213
1493.0,MERCEDES-BENZ,GLE 350,Jeep,Yes,Petrol,3.5,117368.0,6.0,Automatic,4x4,Left wheel,Black,0.0,9.0,68721.54641931925,68681
583.0,HYUNDAI,Elantra,Sedan,Yes,Petrol,1.6,120000.0,4.0,Automatic,Front,Left wheel,Grey,4.0,14.0,15612.329328908805,15612
1058.0,MERCEDES-BENZ,E 350,Sedan,Yes,Petrol,3.5,64000.0,6.0,Tiptronic,4x4,Left wheel,Grey,12.0,13.0,34496.99999999952,34497
781.0,HONDA,Passport,Jeep,No,CNG,3.2,300000.0,6.0,Automatic,4x4,Left wheel,Green,2.0,26.0,5958.909932658963,5959
765.0,HYUNDAI,Sonata,Sedan,Yes,LPG,2.0,409910.0,4.0,Automatic,Front,Left wheel,Silver,4.0,10.0,15367.000000000242,15367
690.0,HONDA,Civic,Coupe,Yes,Petrol,1.5,50497.0,4.0,Automatic,Front,Left wheel,Black,4.0,9.0,56138.08997415324,56177
